classrooms_eng_id,Region,Building,Room,Capacity,Accessories, zoom
134,87070,38488,62967,40,accecible_table,1
71,99986,26798,40641,60,accecible_table,1
29,54282,82903,7460,45,NULL,0
131,87070,38488,40641,80,"hyb_class,accecible_table",1
89,99986,28061,74692,40,NULL,0
76,99986,26798,26201,60,NULL,1
137,87070,38488,95379,60,NULL,0
121,4374,36179,44970,70,accecible_table,0
15,71362,34649,98636,25,NULL,0
113,99986,32089,53340,45,NULL,0
103,99986,7705,53340,44,student_tables,0
24,54282,24688,71354,40,NULL,0
101,99986,7705,82183,85,hyb_class,1
97,99986,7705,97927,41,accecible_table,0
21,54282,24688,89712,55,NULL,0
136,87070,38488,21234,40,accecible_table,0
144,92220,40992,95379,100,NULL,0
14,71362,34649,85542,106,"hyb_class,hearing_dis_sys",1
96,99986,7705,16207,85,"hyb_class,stage,accecible_table",1
40,99986,22473,8753,81,NULL,0
64,99986,5269,85567,30,NULL,0
25,54282,24688,85567,25,NULL,0
46,99986,93656,50499,60,accecible_table,0
82,99986,26798,47323,56,NULL,1
63,99986,5269,94169,30,NULL,0
52,99986,5269,48827,40,accecible_table,0
78,99986,26798,95046,60,NULL,1
57,99986,5269,50499,40,"accecible_furnitures,student_tables",0
26,54282,24688,51975,62,NULL,0
140,92220,40992,17998,48,NULL,0
2,68090,27815,14507,115,"student_tables,hearing_dis_sys",1
30,54282,82903,22727,40,NULL,0
48,99986,93656,21234,55,accecible_table,0
62,99986,5269,53340,30,NULL,0
93,99986,7705,83792,42,NULL,0
83,99986,26798,99812,60,NULL,1
65,99986,26798,25139,26,accecible_table,1
4,68090,2380,36846,45,NULL,1
43,99986,22473,45054,36,sep_chairs,0
88,99986,26798,74692,200,"hyb_class,hearing_dis_sys,portable_mic",1
38,99986,22473,49608,60,NULL,0
133,87070,38488,50499,40,accecible_table,1
120,4374,36179,60166,28,accecible_table,0
125,87070,38488,25139,40,student_tables,0
94,99986,7705,31348,45,NULL,0
109,99986,32089,69694,85,"hyb_class,accecible_table",1
112,99986,32089,32372,42,NULL,0
92,99986,7705,48827,41,NULL,0
59,99986,5269,44087,40,accecible_table,1
6,68090,2380,1054,106,"hyb_class,student_tables,hearing_dis_sys",1
85,99986,26798,62967,60,accecible_table,1
60,99986,5269,82183,30,NULL,0
123,4374,36179,21234,88,"hyb_class,student_tables",1
33,99986,22473,21234,45,student_tables,0
124,4374,73672,34805,90,"student_tables,hyb_class",1
98,99986,7705,38162,42,accecible_table,0
138,92220,40992,25139,110,"hyb_class,hearing_dis_sys",1
86,99986,26798,44087,72,"hyb_class,accecible_table",1
28,54282,82903,98921,45,NULL,0
47,99986,93656,62967,40,accecible_table,0
34,99986,22473,89259,45,student_tables,0
61,99986,5269,32372,30,NULL,0
20,54282,24688,6822,60,NULL,0
66,99986,26798,37775,70,"accecible_table,hyb_class",1
142,92220,40992,57403,21,NULL,0
67,99986,26798,98921,60,"hyb_class,accecible_table",1
115,4374,23605,25139,265,"hyb_class,hearing_dis_sys",0
87,99986,26798,21234,60,accecible_table,1
119,4374,36179,60353,16,NULL,0
23,54282,24688,7649,33,NULL,0
99,99986,7705,93303,25,student_tables,0
102,99986,7705,32372,41,NULL,0
117,4374,23605,50499,70,hyb_class,1
95,99986,7705,69694,85,"hyb_class,accecible_table,stage",1
81,99986,26798,27635,60,"portable_mic,stage",1
105,99986,32089,95379,85,hyb_class,1
