group_id,code,registered_students,planned_registered_students,prefered_region,period,Day,start_time,end_time
27200,8331,8,25,-1,year,Tuesday,14:00,16:00
10432,74772,95,110,83149,Sem_B,Tuesday,12:00,15:00
89964,54886,14,40,68171,Sem_B,Tuesday,14:00,16:00
21647,91233,28,30,68171,Sem_B,Tuesday,14:00,16:00
31975,14681,27,30,-1,Sem_B,Tuesday,14:00,18:00
94483,61936,32,33,14087,Sem_B,Tuesday,14:00,16:00
98162,28510,13,30,68171,Sem_B,Tuesday,14:00,16:00
8767,41154,41,48,-1,Sem_B,Tuesday,09:00,15:00
57842,79731,-1,60,6290,year,Tuesday,14:00,16:00
97598,33237,27,30,68171,Sem_B,Tuesday,14:00,16:00
55208,45389,-1,0,-1,year,Tuesday,08:00,22:00
69221,53924,7,20,61284,Sem_B,Tuesday,12:00,16:00
24567,60990,22,40,6290,year,Tuesday,14:00,16:00
26145,61869,-1,0,-1,Sem_B,Tuesday,14:00,17:00
56622,43613,10,25,-1,Sem_B,Tuesday,14:00,16:00
31535,62059,58,60,14087,Sem_B,Tuesday,12:00,16:00
17788,13589,49,60,12623,Sem_B,Tuesday,14:00,16:00
20256,28965,36,36,68171,Sem_B,Tuesday,14:00,15:00
52071,58859,18,22,99369,Sem_B,Tuesday,14:00,16:00
45448,73768,9,20,6290,year,Tuesday,14:00,16:00
91464,67266,35,42,-1,year,Tuesday,13:00,18:00
72496,1046,16,44,99369,Sem_B,Tuesday,14:00,16:00
61218,62160,44,45,68171,Sem_B,Tuesday,14:00,15:00
4418,62729,-1,0,-1,year,Tuesday,08:00,20:00
23808,78805,11,20,99369,year,Tuesday,14:00,16:00
24915,91998,11,17,99369,year,Tuesday,14:00,16:00
57780,62593,16,20,99369,year,Tuesday,14:00,16:00
41862,74244,-1,50,6290,Sem_B,Tuesday,14:00,16:00
39980,55317,1,15,6290,Sem_B,Tuesday,14:00,16:00
93313,38029,58,60,68171,Sem_B,Tuesday,14:00,16:00
4452,64932,161,200,68171,Sem_B,Tuesday,14:00,16:00
1465,4098,8,10,99369,Sem_B,Tuesday,14:00,16:00
9862,18342,25,30,68171,Sem_B,Tuesday,14:00,16:00
22275,5541,39,80,99369,Sem_B,Tuesday,14:00,16:00
27351,16262,6,10,6290,Sem_B,Tuesday,14:00,16:00
37224,26756,14,25,61284,Sem_B,Tuesday,14:00,16:00
19572,91655,2,20,99369,Sem_B,Tuesday,14:00,16:00
52233,17158,39,40,-1,Sem_B,Tuesday,14:00,17:00
21748,4868,13,25,6290,Sem_B,Tuesday,14:00,16:00
94838,9525,11,20,61284,Sem_B,Tuesday,12:00,16:00
69752,20774,18,50,-1,Sem_B,Tuesday,12:00,16:00
56648,74451,11,25,6290,year,Tuesday,14:00,16:00
67886,72748,36,42,-1,year,Tuesday,12:00,16:00
95110,49375,3,12,99369,year,Tuesday,14:00,16:00
53363,55046,62,60,68171,Sem_B,Tuesday,14:00,16:00
51929,39413,128,160,68171,Sem_B,Tuesday,12:00,15:00
4955,23157,28,35,99369,Sem_B,Tuesday,14:00,16:00
18585,94129,6,37,68171,Sem_B,Tuesday,14:00,16:00
84674,19862,31,30,61284,year,Tuesday,14:00,16:00
60540,31033,11,35,83149,Sem_B,Tuesday,14:00,15:00
72861,35814,166,165,-1,year,Tuesday,14:00,16:00
24711,98781,17,45,68171,Sem_B,Tuesday,14:00,16:00
30985,90831,44,60,68171,Sem_B,Tuesday,14:00,15:00
88924,22317,1,30,99369,Sem_B,Tuesday,14:00,16:00
67285,69769,12,20,12623,year,Tuesday,14:00,16:00
78931,22818,14,20,99369,Sem_B,Tuesday,14:00,16:00
43039,38846,-1,30,12623,year,Tuesday,14:00,16:00
21340,81394,26,40,68171,Sem_B,Tuesday,13:00,15:00
33446,4493,19,25,-1,Sem_B,Tuesday,14:00,16:00
95790,46853,81,100,-1,Sem_B,Tuesday,14:00,16:00
57575,94859,3,7,99369,year,Tuesday,14:00,16:00
48093,78818,29,40,68171,Sem_B,Tuesday,14:00,17:00
59873,27227,8,20,6290,Sem_B,Tuesday,14:00,16:00
43271,31530,24,25,61284,Sem_B,Tuesday,14:00,16:00
14464,89251,-1,40,12623,year,Tuesday,14:00,16:00
14724,27649,28,30,99369,Sem_B,Tuesday,14:00,16:00
71240,31493,47,60,68171,Sem_B,Tuesday,12:00,16:00
34119,36654,22,35,6290,Sem_B,Tuesday,14:00,16:00
13323,46921,-1,0,99369,year,Tuesday,14:00,20:00
38720,31765,23,35,-1,Sem_B,Tuesday,14:00,16:00
67264,61869,-1,0,-1,Sem_B,Tuesday,14:00,17:00
60336,57665,-1,100,12623,Sem_B,Tuesday,14:00,16:00
89595,94068,201,195,-1,year,Tuesday,14:00,16:00
78437,55874,10,40,61284,year,Tuesday,14:00,16:00
62701,20386,51,70,6613,Sem_B,Tuesday,14:00,16:00
66161,6030,44,50,-1,year,Tuesday,14:00,16:00
79942,52152,4,13,68171,Sem_B,Tuesday,14:00,16:00
99710,18447,48,60,99369,Sem_B,Tuesday,14:00,16:00
92556,38969,16,20,6290,Sem_B,Tuesday,14:00,16:00
77401,55396,63,80,83149,Sem_B,Tuesday,12:00,15:00
83868,93964,37,42,-1,year,Tuesday,13:00,18:00
24349,26703,16,25,6290,Sem_B,Tuesday,14:00,16:00
51055,29634,15,25,-1,Sem_B,Tuesday,14:00,18:00
59596,20457,40,42,-1,Sem_B,Tuesday,12:00,16:00
8392,70977,9,13,68171,Sem_B,Tuesday,14:00,18:00
1521,33591,43,70,6613,Sem_B,Tuesday,14:00,18:00
71032,7721,47,60,68171,Sem_B,Tuesday,14:00,17:00
33701,33465,21,25,68171,Sem_B,Tuesday,14:00,16:00
84391,84381,23,25,6613,Sem_B,Tuesday,14:00,16:00
84331,34499,87,100,6613,Sem_B,Tuesday,14:00,16:00
20998,13247,-1,100,99369,Sem_B,Tuesday,14:00,16:00
72408,39693,55,100,12623,Sem_B,Tuesday,14:00,18:00
55235,70982,27,32,83149,Sem_B,Tuesday,12:00,15:00
69230,98969,83,85,-1,Sem_B,Tuesday,14:00,18:00
45420,86307,58,65,-1,Sem_B,Tuesday,14:00,16:00
55093,89006,-1,0,-1,year,Tuesday,14:00,21:00
66720,1881,6,25,6290,Sem_B,Tuesday,14:00,18:00
27018,89510,29,40,-1,Sem_B,Tuesday,14:00,17:00
43420,63782,8,15,99369,Sem_B,Tuesday,14:00,16:00
4693,35749,8,25,6290,year,Tuesday,14:00,16:00
76042,45069,39,50,68171,Sem_B,Tuesday,14:00,16:00
37684,7441,-1,205,68171,Sem_B,Tuesday,14:00,15:00
10678,65780,37,42,-1,year,Tuesday,14:00,18:00
45055,75192,130,140,99369,Sem_B,Tuesday,14:00,16:00
17124,7064,30,42,-1,year,Tuesday,13:00,18:00
66023,30429,11,25,68171,Sem_B,Tuesday,14:00,16:00
87857,86667,22,30,61284,Sem_B,Tuesday,14:00,16:00
50803,56920,79,90,6613,Sem_B,Tuesday,14:00,16:00
21492,95700,7,20,61284,Sem_B,Tuesday,12:00,16:00
11242,4685,166,170,83149,Sem_B,Tuesday,13:00,16:00
80792,56138,5,12,68171,Sem_B,Tuesday,12:00,16:00
16340,51057,-1,40,-1,year,Tuesday,14:00,18:00
33961,47676,17,18,68171,Sem_B,Tuesday,14:00,16:00
62744,25063,21,30,99369,year,Tuesday,14:00,16:00
46592,47799,26,60,-1,Sem_B,Tuesday,14:00,16:00
32486,96931,-1,105,68171,Sem_B,Tuesday,12:00,15:00
74778,94272,23,30,-1,Sem_B,Tuesday,14:00,16:00
91008,951,34,35,83149,Sem_B,Tuesday,14:00,15:00
29005,3512,60,60,12623,Sem_B,Tuesday,14:00,16:00
72142,42872,25,40,99369,Sem_B,Tuesday,14:00,16:00
15865,45660,-1,0,-1,Sem_B,Tuesday,14:00,17:00
17871,18715,-1,0,99369,year,Tuesday,08:00,16:00
91145,88388,13,20,99369,Sem_B,Tuesday,14:00,18:00
94103,51095,-1,75,6290,year,Tuesday,14:00,16:00
56629,18989,9,30,12623,Sem_B,Tuesday,14:00,16:00
56466,17346,42,42,-1,year,Tuesday,12:00,16:00
98412,67353,5,20,6290,Sem_B,Tuesday,12:00,15:00
77515,1579,22,25,61284,Sem_B,Tuesday,14:00,16:00
