group_id,code,registered_students,planned_registered_students,prefered_region,period,Day,start_time,end_time
24130,31916,58,60,48494,Sem_B,Tuesday,14:00,16:00
83443,72691,28,30,48494,Sem_B,Tuesday,14:00,16:00
59289,9174,27,30,48494,Sem_B,Tuesday,14:00,16:00
60105,60739,3,12,36068,year,Tuesday,14:00,16:00
76710,69228,128,160,48494,Sem_B,Tuesday,12:00,15:00
68001,24169,5,10,15805,Sem_B,Tuesday,13:00,16:00
70655,53351,81,100,-1,Sem_B,Tuesday,14:00,16:00
73171,2211,22,25,41387,Sem_B,Tuesday,14:00,16:00
9956,13405,39,42,-1,year,Tuesday,13:00,16:00
70133,61190,-1,40,37891,year,Tuesday,14:00,16:00
33002,73368,11,17,36068,year,Tuesday,14:00,16:00
24584,78285,7,20,41387,Sem_B,Tuesday,12:00,16:00
42822,37395,-1,100,37891,Sem_B,Tuesday,14:00,16:00
43111,13081,43,70,75542,Sem_B,Tuesday,14:00,18:00
19854,23402,62,65,48494,Sem_B,Tuesday,14:00,16:00
46370,19790,22,40,15805,year,Tuesday,14:00,16:00
47839,40089,51,70,75542,Sem_B,Tuesday,14:00,16:00
71395,21506,83,85,-1,Sem_B,Tuesday,14:00,18:00
42404,37669,32,33,81566,Sem_B,Tuesday,14:00,16:00
94395,5530,26,40,48494,Sem_B,Tuesday,13:00,15:00
20665,92775,3,7,36068,year,Tuesday,14:00,16:00
80168,13718,16,44,36068,Sem_B,Tuesday,14:00,16:00
13023,46452,55,100,37891,Sem_B,Tuesday,14:00,18:00
240,94137,6,25,15805,Sem_B,Tuesday,14:00,18:00
55341,53011,29,40,48494,Sem_B,Tuesday,14:00,17:00
54210,9616,36,42,-1,year,Tuesday,12:00,16:00
11313,6856,11,35,581,Sem_B,Tuesday,14:00,15:00
35030,42876,26,60,-1,Sem_B,Tuesday,14:00,16:00
46729,95010,40,42,-1,Sem_B,Tuesday,12:00,16:00
1233,85684,63,80,581,Sem_B,Tuesday,12:00,15:00
31864,57234,48,60,36068,Sem_B,Tuesday,14:00,16:00
7723,15128,36,36,48494,Sem_B,Tuesday,14:00,15:00
73262,32567,-1,50,37891,year,Tuesday,14:00,16:00
55398,19515,47,60,48494,Sem_B,Tuesday,12:00,16:00
51885,91715,12,20,37891,year,Tuesday,14:00,16:00
95998,25859,18,22,36068,Sem_B,Tuesday,14:00,16:00
85239,39693,95,110,581,Sem_B,Tuesday,12:00,15:00
93831,74049,28,30,48494,Sem_B,Tuesday,14:00,16:00
63682,471,23,25,75542,Sem_B,Tuesday,14:00,16:00
3680,67033,-1,75,15805,year,Tuesday,14:00,16:00
17574,85323,8,15,36068,Sem_B,Tuesday,14:00,16:00
50594,26414,42,42,-1,year,Tuesday,12:00,16:00
68558,16940,35,42,-1,year,Tuesday,13:00,18:00
31973,43767,-1,0,36068,year,Tuesday,08:00,16:00
90857,26017,18,50,-1,Sem_B,Tuesday,12:00,16:00
3165,25659,41,48,-1,Sem_B,Tuesday,09:00,15:00
15519,88677,-1,0,-1,Sem_B,Tuesday,14:00,16:00
62699,7051,16,25,15805,Sem_B,Tuesday,14:00,16:00
2038,37576,13,20,36068,Sem_B,Tuesday,14:00,18:00
84501,54934,44,50,-1,year,Tuesday,14:00,16:00
