"birthdate","idchild"
2006-08-01,618
2010-12-01,564
2006-12-01,510
2004-03-01,508
2004-08-01,24
2007-11-01,606
2008-06-01,256
2010-04-01,422
2009-03-01,103
2011-05-01,104
2010-08-01,257
2008-01-01,513
2010-10-01,258
2011-03-01,135
2002-06-01,43
2004-09-01,378
2007-09-01,373
2006-01-01,203
2009-05-01,136
2009-10-01,137
2007-02-01,446
2009-08-01,252
2008-10-01,259
2008-07-01,138
2011-01-01,260
2005-11-01,140
2011-06-01,139
2011-06-01,141
2010-06-01,418
2003-12-01,40
2006-05-01,105
2011-08-01,515
2006-08-01,261
2008-11-01,262
2006-09-01,201
2008-05-01,573
2005-02-01,31
2004-12-01,50
2007-08-01,356
2008-01-01,624
2004-03-01,474
2011-07-01,263
2007-07-01,386
2006-11-01,488
2011-07-01,143
2004-01-01,142
2006-07-01,264
2006-05-01,191
2005-02-01,28
2009-08-01,536
2006-03-01,195
2007-09-01,383
2005-09-01,53
2008-07-01,56
2006-05-01,231
2009-01-01,525
2005-01-01,29
2003-10-01,15
2007-03-01,349
2005-02-01,342
2008-09-01,553
2003-02-01,35
2006-01-01,340
2002-12-01,183
2004-04-01,194
2007-03-01,350
2008-08-01,144
2006-08-01,565
2004-06-01,439
2007-11-01,440
2004-01-01,3
2006-04-01,200
2009-09-01,145
2008-01-01,265
2010-08-01,266
2006-05-01,211
2009-06-01,146
2005-12-01,236
2009-04-01,267
2009-03-01,268
2007-04-01,577
2009-01-01,250
2011-03-01,106
2005-06-01,235
2006-08-01,269
2008-08-01,270
2011-03-01,107
2011-05-01,271
2005-01-01,52
2007-08-01,366
2011-02-01,108
2002-09-01,9
2005-05-01,392
2008-02-01,540
2006-02-01,352
2010-05-01,582
2004-09-01,206
2003-07-01,318
2009-07-01,272
2010-04-01,273
2007-04-01,371
2008-09-01,274
2010-10-01,275
2008-11-01,276
2010-09-01,419
2009-03-01,503
2011-10-01,109
2004-11-01,33
2007-11-01,461
2011-12-01,277
2009-05-01,245
2011-01-01,278
2002-09-01,493
2005-02-01,494
2008-03-01,279
2006-07-01,244
2010-06-01,247
2006-08-01,358
2005-11-01,110
2008-05-01,280
2010-02-01,111
2007-09-01,443
2009-10-01,147
2002-11-01,458
2003-12-01,319
2008-06-01,517
2010-12-01,148
2001-05-01,1
2008-06-01,541
2009-11-01,149
2003-03-01,182
2006-12-01,285
2007-02-01,376
2008-08-01,241
2011-09-01,281
2008-08-01,512
2009-08-01,415
2011-01-01,416
2009-08-01,426
2007-01-01,362
2003-02-01,37
2008-10-01,112
2007-05-01,377
2007-03-01,621
2009-07-01,622
2004-03-01,574
2009-06-01,613
2011-10-01,282
2009-12-01,113
2004-08-01,327
2004-10-01,209
2005-11-01,212
2004-04-01,34
2007-06-01,495
2005-10-01,457
2009-08-01,114
2006-07-01,198
