"idoccurrence","idactivity","occurrencebegin","occurrenceend","inactive","next","previous"
8683,2741,2017-10-16 10:30:00,2017-10-16 15:30:00,FALSE,8683,8683
8684,4131,2017-10-12 09:00:00,2017-10-12 11:30:00,FALSE,8684,8684
8685,2080,2017-10-09 15:00:00,2017-10-09 16:00:00,FALSE,8685,8685
8686,2080,2017-10-16 15:00:00,2017-10-16 16:00:00,FALSE,8686,8686
8687,270,2017-10-11 13:40:00,2017-10-11 17:00:00,FALSE,8687,8687
8688,520,2017-10-19 14:00:00,2017-10-19 16:00:00,FALSE,8688,8688
8689,1270,2017-10-10 08:40:00,2017-10-10 11:00:00,FALSE,8689,8689
8690,1270,2017-10-17 08:40:00,2017-10-17 11:00:00,FALSE,8690,8690
8691,4640,2017-10-12 07:30:00,2017-10-12 16:30:00,FALSE,8691,8691
8692,4640,2017-10-19 07:30:00,2017-10-19 16:30:00,FALSE,8692,8692
8693,450,2017-10-19 11:00:00,2017-10-19 15:00:00,FALSE,8693,8693
8694,470,2017-10-12 14:55:00,2017-10-12 17:05:00,FALSE,8694,8694
8695,2100,2017-10-17 14:00:00,2017-10-17 16:00:00,FALSE,8695,8695
8696,2600,2017-10-20 10:00:00,2017-10-20 12:00:00,FALSE,8696,8696
8697,2601,2017-10-20 14:00:00,2017-10-20 16:00:00,FALSE,8697,8697
8698,6250,2017-10-16 09:45:00,2017-10-16 11:45:00,FALSE,8698,8698
8699,1320,2017-10-09 09:45:00,2017-10-09 11:45:00,FALSE,8699,8699
8700,920,2017-10-09 14:00:00,2017-10-09 17:00:00,FALSE,8700,8700
8701,920,2017-10-16 14:00:00,2017-10-16 17:00:00,FALSE,8701,8701
8702,1120,2017-10-16 10:15:00,2017-10-16 15:45:00,FALSE,8702,8702
8703,2050,2017-10-13 14:30:00,2017-10-13 16:00:00,FALSE,8703,8703
8704,2050,2017-10-20 14:30:00,2017-10-20 16:00:00,FALSE,8704,8704
8705,2900,2017-10-17 10:00:00,2017-10-17 12:00:00,FALSE,8705,8705
8706,2901,2017-10-17 14:00:00,2017-10-17 16:00:00,FALSE,8706,8706
8707,3190,2017-10-13 09:30:00,2017-10-13 10:45:00,FALSE,8707,8707
8708,3190,2017-10-20 09:30:00,2017-10-20 10:45:00,FALSE,8708,8708
8709,6040,2017-10-11 14:00:00,2017-10-11 16:30:00,FALSE,8709,8709
8710,6040,2017-10-18 14:00:00,2017-10-18 16:30:00,FALSE,8710,8710
8711,6380,2017-10-13 09:00:00,2017-10-13 11:30:00,FALSE,8711,8711
8712,6380,2017-10-20 09:00:00,2017-10-20 11:30:00,FALSE,8712,8712
8713,3350,2017-10-11 09:00:00,2017-10-11 11:30:00,FALSE,8713,8713
8714,3350,2017-10-18 09:00:00,2017-10-18 11:30:00,FALSE,8714,8714
8715,4153,2017-10-09 08:30:00,2017-10-09 12:30:00,FALSE,8715,8715
8716,6070,2017-10-10 10:15:00,2017-10-10 14:45:00,FALSE,8716,8716
8717,6070,2017-10-17 10:15:00,2017-10-17 14:45:00,FALSE,8717,8717
8718,6100,2017-10-10 14:30:00,2017-10-10 16:00:00,FALSE,8718,8718
8719,6100,2017-10-17 14:30:00,2017-10-17 16:00:00,FALSE,8719,8719
8720,5010,,,FALSE,8720,8720
8721,5000,,,FALSE,8721,8721
8722,5000,,,FALSE,8722,8722
8723,5000,,,FALSE,8723,8723
8724,5000,,,FALSE,8724,8724
8725,5000,,,FALSE,8725,8725
8726,5000,,,FALSE,8726,8726
8727,5000,,,FALSE,8727,8727
8728,5000,,,FALSE,8728,8728
8729,5000,,,FALSE,8729,8729
8730,5000,,,FALSE,8730,8730
8731,5000,,,FALSE,8731,8731
8732,5000,,,FALSE,8732,8732
8733,5000,,,FALSE,8733,8733
8734,5000,,,FALSE,8734,8734
8735,5000,,,FALSE,8735,8735
8736,2390,2017-10-20 14:00:00,2017-10-20 15:00:00,FALSE,8736,8736
8737,6000,2017-10-20 10:00:00,2017-10-20 11:00:00,FALSE,8737,8737
8738,2430,2017-10-09 14:00:00,2017-10-09 16:00:00,FALSE,8738,8738
8739,2430,2017-10-16 14:00:00,2017-10-16 16:00:00,FALSE,8739,8739
8740,6230,2017-10-18 09:00:00,2017-10-18 12:00:00,FALSE,8740,8740
8741,6320,2017-10-13 14:00:00,2017-10-13 16:00:00,FALSE,8741,8741
8742,6320,2017-10-19 14:00:00,2017-10-19 16:00:00,FALSE,8742,8742
8743,220,2017-10-10 10:30:00,2017-10-10 14:30:00,FALSE,8743,8743
